2024-08-16 17:05:26.306 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-16 17:05:26.306 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-16 17:05:26.308 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2024-08-16 17:05:26.339 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-08-16 17:05:26.339 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-08-16 17:05:26.340 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-08-16 17:05:26.340 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-08-16 17:05:26.343 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-16 17:05:26.343 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 90 ms
2024-08-16 17:05:26.360 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-08-16 17:05:26.393 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4769bc03, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6fe2ef53, org.springframework.security.web.context.SecurityContextHolderFilter@8b67983, org.springframework.security.web.header.HeaderWriterFilter@27b08d2c, org.springframework.web.filter.CorsFilter@59f753f1, org.springframework.security.web.csrf.CsrfFilter@46636154, org.springframework.security.web.authentication.logout.LogoutFilter@50044d68, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1d3562dc, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@28849322, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@76e8933b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6fa8131f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5582d000, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@b7ea68c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ceba041, org.springframework.security.web.access.ExceptionTranslationFilter@70d5cee2, org.springframework.security.web.access.intercept.AuthorizationFilter@22a14055]
2024-08-16 17:05:26.397 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-08-16 17:05:26.400 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-08-16 17:05:26.400 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-08-16 17:05:26.402 [restartedMain] INFO  c.t.net.nodeInfo.NodeInfoApplication - Started NodeInfoApplication in 0.167 seconds (process running for 256.802)
2024-08-16 17:05:26.402 [restartedMain] INFO  c.t.net.nodeInfo.NodeInfoApplication - NodeInfo start CommandRunner
2024-08-16 17:05:26.403 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
